id;Label;Year;Nationality;Weight
1271;Monique Noomen - Greve;1967;Nederlandse;1
1272;Peter Frans Hartman;1949;Nederlandse;1
1273;Paula Soteropoulos;;Nederlandse;1
1274;Leo Graafsma;1949;Nederlandse;1
1275;Pim Oomens;1956;Nederlandse;1
1276;David de Buck;;;1
1277;Geraldine Matchett;1971;Zwitserse;1
1278;Nazo Moosa;1970;Britse;1
1279;Ralph Sonnenberg;1934;Nederlandse;1
1280;Adriaan Nühn;1953;Nederlandse;1
1281;James Sherwin;1933;Amerikaanse;1
1282;René Moos;1963;Nederlandse;1
1283;Paul Verwilt;;Belgische;1
1284;Marieke Schöningh;1963;Belgische;1
1285;Jaap Winter;1963;Nederlandse;1
1286;Homaira Akbari;1961;Amerikaanse;1
1287;Juan Pablo Del Valle Perochena;1973;Mexicaanse;1
1288;Kees-Jan Rameau;1962;Nederlandse;1
1289;Leen Geirnaerdt;1974;Belgische;1
1290;Huub Hannen;;;1
1291;Frits Oldenburg;1961;Nederlandse;1
1292;Dominique Leroy;1964;Belgische;1
1293;Andrés Capdepón Acquaroni;1974;Argentijnse;1
1294;Gert Ysebaert;;Belgische;1
1295;Maarten Wetselaar;;Nederlandse;1
1296;Rudy Kluiber;1959;Amerikaanse;1
1297;Jan Bout;1946;Nederlandse;1
