id;Label;Year;Nationality;Weight
280;Charles Holliday;1948;Amerikaanse;1
281;Rob Ruijter;1951;Nederlandse;1
282;Rupert Dorey;1960;;1
283;Jan Ernst de Groot;1963;Nederlandse;1
284;Philippe Calavia;1948;Franse;1
285;Linda Stuntz;1954;Amerikaanse;1
286;Anne de Jong;;Nederlandse;1
287;Jan Lobbezoo;1946;Nederlandse;1
288;Leo van Doorne;1959;Nederlandse;1
289;Ann Fudge;1951;Amerikaanse;1
290;Jaap de Hoop Scheffer;1948;Nederlandse;1
291;Albert Jan Jongsma;1968;Nederlandse;1
292;Carel Bikkers;1950;Nederlandse;1
293;Jan Keijsers;1955;Nederlandse;1
294;Maryse Aulagnon;1949;Franse;1
295;Edith Snoeij;1956;Nederlandse;1
296;Wolfhart Hauser;1949;Duitse;1
297;Eric Kuisch;1965;Nederlandse;1
298;Erich Platzer;;;1
299;Nick Meyer;1944;Britse;1
300;Nico Hermans;1951;Nederlandse;1
301;Pim Berger;1966;Nederlandse;1
302;Ronald Paul;1960;Nederlandse;1
303;Jean-Christope Lalanne;1961;Franse;1
304;Carel van Eykelenburg;;;1
305;Constant Korthout;1962;Nederlandse;1
306;Christian Meyer;;;1
307;Stephan Nanninga;1957;Nederlandse;1
308;Barry Mence;;Britse;1
309;Sophie Bechu;;Franse;1
310;Hans Kamps;1959;Nederlandse;1
311;Arthur de Bok;1962;Nederlandse;1
312;Victor Tee;;Britse;1
313;Hans Turkesteen;1963;Nederlandse;1
314;Ed Kraaijenzank;1956;Nederlandse;1
315;Yvonne Zonderop;;Nederlandse;1
316;Jay Pomrenze;1949;Amerikaanse;1
317;Marc de Vries;;Nederlandse;1
318;Delfin Rueda Arroyo;1964;Spaanse;1
319;Henk Rottinghuis;1956;Nederlandse;1
320;Harald Petry;;;1
321;Aukje Doornbos;;Nederlandse;1
322;George Voorhout;1972;Nederlandse;1
323;Gerard Kleisterlee;1946;Nederlandse;1
324;Pierre-François Riolacci;1965;Franse;1
325;David Schaffer;;;1
326;Yosef Grunfeld;1942;Israelische;1
327;Douglas Wood;;;1
328;Wil Fluit;1947;Nederlandse;1
329;Abbe Luersman;1967;Amerikaanse;1
330;Matthew Rider;1963;Amerikaanse;1
331;Martijn Hagens;1971;Nederlandse;1
332;Anders Moberg;1950;Zweedse;1
333;Tjalling Smit;;;1
334;Laurence Debroux;1969;Franse;1
335;Jan Bos;1965;Nederlandse;1
336;Laura Cha;1949;Chinese;1
337;Nicolai Pronk;1974;Nederlandse;1
338;Carel van den Driest;1947;Nederlandse;1
339;Xiao Wei Wu;;;1
340;Floris Deckers;1950;Nederlandse;1
341;David Carrington;1946;Engelse;1
342;Paul ten Haaf;;;1
343;Jeroen Both;;Nederlandse;1
344;Olav Berten;1967;Nederlandse;1
345;Charlotte Kwist;1967;Nederlandse;1
346;Manon van Beek;1970;Nederlandse;1
347;Menno Antal;1965;Nederlandse;1
348;Stephan Sieber;;;1
349;Peter Mills;1958;;1
350;Michel Lamie;;;1
351;Andrew Jennings;;;1
352;Gerard van de Aast;1957;Nederlandse;1
353;Rob van Gelder;1945;Nederlandse;1
354;Philip Alexander Sluiter;1963;Nederlandse;1
355;Jos Blejie;1958;Nederlandse;1
356;Philip van Blanken;;Nederlandse;1
357;Stanley Shashoua;;;1
358;Jean Vermeire;1944;Belgische;1
359;Heinrich Kreutzer;1949;Duitse;1
360;Adam de Jong;1954;Nederlandse;1
361;Patrick De Greve;1969;Belgische;1
362;Frits Eulderink;;Nederlandse;1
363;Rafael Padilla;1978;Spaanse;1
364;Arjan Kaaks;;Nederlandse;1
365;Mark Wegter;;;1
366;Piet van der Slikke;;;1
367;Ulco Vermeulen;;Nederlandse;1
